,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x16,x17,d9,d10,d11,d12,d13,d14,d15,d16,theta3,theta4
61,14.44326826,20.66518799,17.95288956,3.592764395,0.17524469,10.73486154,6.237492492,10.26870667,27.71546071,12.10581656,24.84049043,42.45149792,-0.059127061,56,114,1.659081866,0.599092612,1.062059203,1.294160605,6.155367737,2.758354397,0.270307719,0.677651153,0.265991278,0.416314377
65,14.51262265,21.50260184,20.51935604,2.960961141,1.204497271,11.7915059,4.873703157,11.28855351,34.9713893,13.00597954,27.51584919,48.87931934,0.339808499,59,121,2.066122243,0.640030613,1.164634023,1.720569582,6.29346284,2.939094659,0.319426517,0.907194232,0.428450809,0.231125012
119,14.51881221,19.53384115,19.68349056,3.653528468,-0.303447815,11.30323635,6.303250288,10.37855787,31.66855012,13.64717624,30.25447531,45.01806201,1.207381557,55,110,1.78124788,0.662082146,1.300272333,1.838741646,6.685207317,3.340798211,0.479782747,1.174735523,0.415482493,0.634263256
124,14.89209235,20.88851351,19.10833318,3.696785276,0.178773625,11.46369699,7.657423657,10.71666036,31.92693181,12.53999093,23.36231958,45.96192532,3.375552588,57,112,2.16718248,0.489268888,1.836901264,1.913118422,6.909041789,3.388134611,0.602809182,0.93116135,0.289775301,0.493867675
126,12.70902444,20.0602788,18.41614288,3.394142983,0.167970683,9.585620132,6.535055296,8.761035906,25.2026417,12.60619984,23.14644054,38.12707333,1.415753236,52,93,2.11634532,0.700892346,1.441287179,1.119019498,6.48379864,2.917737172,0.504255034,0.774941921,0.441432926,0.499461462
127,14.54356123,21.20291783,19.60745033,3.772235885,0.671114831,12.65622886,5.789353213,10.50972468,31.19649394,15.99300519,24.00642374,48.1824853,2.388185365,58,119,1.960894791,0.730272435,1.898386642,0.783584846,5.867417324,2.721518366,0.529120055,1.054763527,0.715530975,0.485355027
131,14.51617102,20.48699928,20.14808939,3.682754601,0.673970052,11.7729576,7.461399755,10.33388989,32.80426049,13.378457,23.30866274,47.66333318,1.146265998,56,115,1.872656933,0.599092977,1.45408749,0.581242042,5.801352027,2.184382789,0.585554078,1.096434,0.459364157,0.874392788
133,14.28027718,19.86821646,19.58395384,3.474343829,-1.170695715,11.77862278,7.031370891,10.63014941,34.29351234,14.49443565,22.40668747,47.42719792,2.475713286,57,117,1.661408889,0.67867468,1.397643412,1.999504722,6.296630047,3.047552918,0.567206778,0.818051982,0.445943006,0.167809187
134,14.15839693,21.31179437,21.98559516,3.429444781,0.5109029,12.21296834,6.592875252,12.53425617,33.93692088,16.21826056,23.43360937,49.93266702,1.790193923,59,124,1.742624534,0.650641727,1.603708957,1.066062469,5.925021685,3.013783599,0.502635433,0.900322531,0.456682978,0.473600758
135,13.40079723,21.1565005,21.10677849,3.363254868,0.785692087,12.55443109,7.556928126,10.37208068,32.58509642,16.08728891,20.46383485,48.52499207,5.896171165,56,118,1.959817861,0.490406127,1.036516555,1.377274959,5.864430724,2.587997956,0.294481411,0.9238678,0.428981993,0.594929466
