,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x16,x17,d1,d2,d3,d4,d5,d6,d7,d8,theta1,theta2
48,13.98666474,20.05913554,19.10885503,3.469708691,0.258302265,10.53426015,7.690992759,8.062101931,28.41594546,11.15828804,19.93376851,41.60590145,1.883519638,57,93,2.238930304,0.618393454,1.392486738,1.511816127,6.645737301,2.885830771,0.543781368,1.090149277,0.312263096,0.500834742
50,14.94795482,22.46780227,19.91532027,3.191182228,0.254560017,12.44055594,9.474827066,11.50386236,36.83947574,17.5585764,28.61464922,54.1019526,4.862638963,65,131,2.074394481,0.57861107,1.831978305,1.594624319,6.841707724,3.143406916,0.515778861,1.046838199,0.529510389,0.534926585
51,13.60915643,22.61773709,21.23761003,3.300315191,1.107066744,11.49920969,8.712172092,9.215768705,30.69972496,15.40863957,24.04574133,45.7858441,6.487356394,59,122,1.732111608,0.823158247,1.717678822,1.373592388,5.940017114,2.819367466,0.576722343,1.069730507,0.553117902,0.463106354
58,14.3408799,21.76389341,20.9371443,2.958259871,0.476494566,11.84681383,4.399426406,10.3247986,32.42285891,13.72274111,22.54405567,47.17941649,4.06544087,58,115,1.789246893,0.618598076,1.478287327,1.904959475,6.816985461,2.842505234,0.3730046,0.996552838,0.523015102,0.55050756
59,14.42155324,22.73783152,21.00457223,2.401764615,-0.035169285,12.445998,5.144202055,10.25681751,31.21377276,15.02010595,24.89518813,47.51210347,5.401475366,55,111,2.148026361,1.046135012,1.264950994,1.405273727,7.153593551,2.879939134,0.460169885,0.996552838,0.338601693,0.55050756
60,14.1384968,20.67371901,19.05464787,3.535985966,0.867499552,11.87633731,4.748684649,10.27162589,30.44489643,13.86110824,25.53771207,44.48913658,2.766699257,54,100,1.642786845,0.93058991,1.308546111,1.5389731,6.115962449,2.89841937,0.36970467,0.834639996,0.4514219,0.429603739
61,14.44326826,20.66518799,17.95288956,3.592764395,0.17524469,10.73486154,6.237492492,10.26870667,27.71546071,12.10581656,24.84049043,42.45149792,-0.059127061,56,114,1.598652926,0.626437245,1.358070999,1.371865943,6.455866003,2.84220415,0.374782644,0.800104076,0.347664254,0.35956418
65,14.51262265,21.50260184,20.51935604,2.960961141,1.204497271,11.7915059,4.873703157,11.28855351,34.9713893,13.00597954,27.51584919,48.87931934,0.339808499,59,121,1.923720486,0.788678104,1.243666619,2.010503673,6.553416967,3.058842559,0.453496826,0.948397815,0.444621035,0.306124557
119,14.51881221,19.53384115,19.68349056,3.653528468,-0.303447815,11.30323635,6.303250288,10.37855787,31.66855012,13.64717624,30.25447531,45.01806201,1.207381557,55,110,1.740579411,0.691829955,1.282826055,1.745253738,6.353131341,3.086318565,0.344385488,0.926988347,0.511280691,0.559998128
124,14.89209235,20.88851351,19.10833318,3.696785276,0.178773625,11.46369699,7.657423657,10.71666036,31.92693181,12.53999093,23.36231958,45.96192532,3.375552588,57,112,1.876519832,0.513417007,2.022834004,1.47809477,6.025545928,3.206322995,0.739125236,0.918389403,0.474209398,0.430920255
126,12.70902444,20.0602788,18.41614288,3.394142983,0.167970683,9.585620132,6.535055296,8.761035906,25.2026417,12.60619984,23.14644054,38.12707333,1.415753236,52,93,1.887449822,0.544757622,1.609592725,1.102513397,5.736201312,2.706750673,0.533247975,0.908146804,0.52322826,0.405523402
